#---EXFOR Request #1063
#---EXFOR Standard Output---
#=============================================================================
#DATASET        L0083006 
#NOW            2022/01/17:06:16:58
#SUBENT         L0083006   20050713
#ENTRY          L0083      20050713
#AUTHOR1        J.Ahrens+
#YEAR           1972
#X4REF1         C,72SENDAI,213,1972
#REFERENCE1     Conf: Conf.Nucl.Structure Studies, Sendai, Japan, 1972, p.213 (1972)
#REACTION       13-AL-27(G,ABS),,SIG
#D4REAC         R0#
#C4Reaction     (G,ABS),SIG
#ReactionType   CS
#Quantity       Cross section
#IndVarFamCode  [0 2        ]
#ExpectedUnits  [B]
#xVariables     1
#+              Y = Y(X1)
#COLUMNS        3
#HEADER         7           3           12
!DATA        DATA-ERR    EN          
!MB          MB          MEV         
!Y.Value     Y.Err+-     X1.Value    
!0.1         0.911       1.1         
!variable    variable    variable    
!0.001       0.001       1000000.0   
!B           B           EV          
#DATA           256         3           12
 13.1        3.          34.2        
 10.6        3.          34.8        
#ENDDATA        51          3
#Legend         3           12
#
#COL-1         : Data        : variable    
#+   Rank      : 0.1         : Y.Value     
#+   Type      : 21          : 0.1         
#+   Header    : DATA        : [Data: data]
#+   Units     : MB          : [millibarns]
#+   BasicUnits: B           : Conv.Factor=0.001
#
#COL-2         : Error       : constant    
#+   Rank      : 0.944       : Y.sErr+-    
#+   Type      : 21          : 0.944       
#+   Header    : ERR-S       : [Uncertainty: +-statistical error]
#+   Units     : MB          : [millibarns]
#+   BasicUnits: B           : Conv.Factor=0.001
#
#COL-3         : Data        : variable    
#+   Rank      : 1.1         : X1.Value    
#+   Type      : 41          : 2.1         
#+   Header    : EN          : [Incident energy: energy]
#+   Units     : MEV         : [MeV]
#+   BasicUnits: EV          : Conv.Factor=1.e+06
#
#ENDDATASET     L0122007 
#=============================================================================
#DATASET        M0590004 
#NOW            2022/01/17:06:16:58
#SUBENT         M0590004   20190626
#ENTRY          M0590      20190626
#AUTHOR1        N.Bianchi+
#YEAR           1996
#X4REF1         J,PR/C,54,1688,1996
#REFERENCE1     Jour: Physical Review, Part C, Nuclear Physics, Vol.54, p.1688 (1996)
#REACTION       13-AL-27(G,ABS),,SIG
#D4REAC         R0#
#C4Reaction     (G,ABS),SIG
#ReactionType   CS
#Quantity       Cross section
#IndVarFamCode  [0 2        ]
#ExpectedUnits  [B]
#xVariables     1
#+              Y = Y(X1)
#COLUMNS        6
#HEADER         7           6           12
!DATA        ERR-S       ERR-1       ERR-2       ERR-3       EN          
!MB          MB          PER-CENT    PER-CENT    PER-CENT    MEV         
!Y.Value     Y.sErr+-    Y.pErr+-    Y.pErr+-    Y.pErr+-    X1.Value    
!0.1         0.944       0.955       0.955       0.955       1.1         
!variable    variable    const       const       const       variable    
!0.001       0.001       1.0         1.0         1.0         1000000.0   
!B           B           PER-CENT    PER-CENT    PER-CENT    EV          
#DATA           32          6           12
 10.719      0.351       2.          1.          4.75        301.        
 11.124      0.243       2.          1.          4.75        317.        
 11.232      0.216       2.          1.          4.75        343.        
 11.178      0.216       2.          1.          4.75        369.        
 10.152      0.216       2.          1.          4.75        389.        
 9.531       0.243       2.          1.          4.75        408.        
 8.721       0.189       2.          1.          4.75        439.        
 7.776       0.189       2.          1.          4.75        465.        
 6.885       0.189       2.          1.          4.75        490.        
 6.777       0.135       2.          1.          4.75        514.        
 6.561       0.108       2.          1.          4.75        540.        
 5.994       0.189       2.          1.          4.75        568.        
 6.129       0.189       2.          1.          4.75        598.        
 5.454       0.162       2.          1.          4.75        616.        
 5.697       0.135       2.          1.          4.75        636.        
 5.751       0.135       2.          1.          4.75        664.        
 5.427       0.216       2.          1.          4.75        684.        
 5.427       0.162       2.          1.          4.75        717.        
 5.13        0.243       2.          1.          4.75        751.        
 5.157       0.162       2.          1.          4.75        768.        
 4.941       0.243       2.          1.          4.75        788.        
 4.995       0.243       2.          1.          4.75        817.        
 4.806       0.162       2.          1.          4.75        840.        
 4.86        0.27        2.          1.          4.75        865.        
 5.184       0.27        2.          1.          4.75        895.        
 4.698       0.243       2.          1.          4.75        908.        
 4.617       0.189       2.          1.          4.75        936.        
 4.347       0.243       2.          1.          4.75        973.        
 4.185       0.243       2.          1.          4.75        1044.       
 3.969       0.27        2.          1.          4.75        1081.       
 4.05        0.27        2.          1.          4.75        1119.       
 3.888       0.351       2.          1.          4.75        1163.       
#ENDDATA        32          6
#Legend         6           12
#
#COL-1         : Data        : variable    
#+   Rank      : 0.1         : Y.Value     
#+   Type      : 21          : 0.1         
#+   Header    : DATA        : [Data: data]
#+   Units     : MB          : [millibarns]
#+   BasicUnits: B           : Conv.Factor=0.001
#
#COL-2         : Error       : variable    
#+   Rank      : 0.944       : Y.sErr+-    
#+   Type      : 21          : 0.944       
#+   Header    : ERR-S       : [Uncertainty: +-statistical error]
#+   Units     : MB          : [millibarns]
#+   BasicUnits: B           : Conv.Factor=0.001
#
#COL-3         : Error       : constant    
#+   Rank      : 0.955       : Y.pErr+-    
#+   Type      : 21          : 0.955       
#+   Header    : ERR-1       : [Uncertainty: +-partial error]
#+   Units     : PER-CENT    : [per-cent]
#
#COL-4         : Error       : constant    
#+   Rank      : 0.955       : Y.pErr+-    
#+   Type      : 21          : 0.955       
#+   Header    : ERR-2       : [Uncertainty: +-partial error]
#+   Units     : PER-CENT    : [per-cent]
#
#COL-5         : Error       : constant    
#+   Rank      : 0.955       : Y.pErr+-    
#+   Type      : 21          : 0.955       
#+   Header    : ERR-3       : [Uncertainty: +-partial error]
#+   Units     : PER-CENT    : [per-cent]
#
#COL-6         : Data        : variable    
#+   Rank      : 1.1         : X1.Value    
#+   Type      : 41          : 2.1         
#+   Header    : EN          : [Incident energy: energy]
#+   Units     : MEV         : [MeV]
#+   BasicUnits: EV          : Conv.Factor=1.e+06
#
#ENDDATASET     M0590004 
#=============================================================================
#DATASET        M0615003 
#NOW            2022/01/17:06:16:58
#SUBENT         M0615003   20160202
#ENTRY          M0615      20160202
#AUTHOR1        V.Muccifora+
#YEAR           1999
#X4REF1         J,PR/C,60,064616,1999
#REFERENCE1     Jour: Physical Review, Part C, Nuclear Physics, Vol.60, p.064616 (1999)
#REACTION       13-AL-27(G,ABS),,SIG,,DAM
#D4REAC         R0#
#C4Reaction     (G,ABS),SIG,,DAM
#ReactionType   CS
#Quantity       Cross section
#IndVarFamCode  [0 2        ]
#ExpectedUnits  [B]
#xVariables     1
#+              Y = Y(X1)
#COLUMNS        3
#HEADER         7           3           12
!DATA        ERR-S       EN          
!MICRO-B     MICRO-B     MEV         
!Y.Value     Y.sErr+-    X1.Value    
!0.1         0.944       1.1         
!variable    variable    variable    
!1.0E-6      1.0E-6      1000000.0   
!B           B           EV          
#DATA           19          3           12
 240.        3.          530.        
 211.        3.          630.        
 195.        2.          730.        
 170.        2.          870.        
 161.        3.          930.        
 148.        2.          1070.       
 134.        3.          1190.       
 132.        2.          1320.       
 126.        3.          1430.       
 125.        2.          1540.       
 120.        3.          1700.       
 121.        3.          1830.       
 112.        3.          1960.       
 121.        5.          2060.       
 110.        5.          2180.       
 100.        6.          2280.       
 98.         5.          2390.       
 102.        7.          2500.       
 112.        7.          2590.       
#ENDDATA        19          3
#Legend         3           12
#
#COL-1         : Data        : variable    
#+   Rank      : 0.1         : Y.Value     
#+   Type      : 21          : 0.1         
#+   Header    : DATA        : [Data: data]
#+   Units     : MICRO-B     : [microbarns]
#+   BasicUnits: B           : Conv.Factor=1.e-06
#
#COL-2         : Error       : variable    
#+   Rank      : 0.944       : Y.sErr+-    
#+   Type      : 21          : 0.944       
#+   Header    : ERR-S       : [Uncertainty: +-statistical error]
#+   Units     : MICRO-B     : [microbarns]
#+   BasicUnits: B           : Conv.Factor=1.e-06
#
#COL-3         : Data        : variable    
#+   Rank      : 1.1         : X1.Value    
#+   Type      : 41          : 2.1         
#+   Header    : EN          : [Incident energy: energy]
#+   Units     : MEV         : [MeV]
#+   BasicUnits: EV          : Conv.Factor=1.e+06
#
#ENDDATASET     M0615003 
#=============================================================================
#DATASET        M0825010 
#NOW            2022/01/17:06:16:58
#SUBENT         M0825010   20111028
#ENTRY          M0825      20111028
#AUTHOR1        J.Ahrens+
#YEAR           1975
#X4REF1         J,NP/A,251,479,1975
#REFERENCE1     Jour: Nuclear Physics, Section A, Vol.251, p.479 (1975)
#REACTION       13-AL-27(G,ABS),,SIG
#D4REAC         R0#
#C4Reaction     (G,ABS),SIG
#ReactionType   CS
#Quantity       Cross section
#IndVarFamCode  [0 2        ]
#ExpectedUnits  [B]
#xVariables     1
#+              Y = Y(X1)
#COLUMNS        3
#HEADER         7           3           12
!DATA        DATA-ERR    EN          
!MB          MB          MEV         
!Y.Value     Y.Err+-     X1.Value    
!0.1         0.911       1.1         
!variable    variable    variable    
!0.001       0.001       1000000.0   
!B           B           EV          
#DATA           145         3           12
 1.81        1.3         10.2        
 3.613       1.48        10.4        
 4.7         1.6         10.6        
 3.209       1.31        10.8        
