#---EXFOR Request #1057
#---EXFOR Standard Output---
#=============================================================================
#DATASET        K21850022
#NOW            2022/01/17:06:13:49
#SUBENT         K2185002   20121027
#ENTRY          K2185      20121027
#AUTHOR1        N.Mutsuro+
#YEAR           1962
#X4REF1         J,JPJ,17,(10),1672,196210
#REFERENCE1     Jour: Journal of the Physical Society of Japan, Vol.17, Issue.10, p.1672 (1962)
#REACTION       13-AL-27(G,N)13-AL-26,,SIG,,BRS
#D4REAC         R0#
#C4Reaction     (G,N),SIG,,BRS
#ReactionType   CS
#Quantity       Cross section
#IndVarFamCode  [0 2        ]
#ExpectedUnits  [B]
#xVariables     1
#+              Y = Y(X1)
#COLUMNS        2
#HEADER         7           2           12
!DATA        EN          
!MB          MEV         
!Y.Value     X1.Value    
!0.1         1.1         
!variable    variable    
!0.001       1000000.0   
!B           EV          
#DATA           45          2           12
 21.2        20.9        
 12.9        21.2        
 6.4         21.6        
 9.5         21.8        
 22.4        21.9        
 24.8        22.1        
 23.9        22.4        
 19.5        22.7        
 12.1        23.         
 12.1        23.2        
 11.5        23.5        
 9.1         23.7        
 6.          24.1        
#ENDDATA        13          2
#Legend         2           12
#
#COL-1         : Data        : variable    
#+   Rank      : 0.1         : Y.Value     
#+   Type      : 21          : 0.1         
#+   Header    : DATA        : [Data: data]
#+   Units     : MB          : [millibarns]
#+   BasicUnits: B           : Conv.Factor=0.001
#
#COL-2         : Data        : variable    
#+   Rank      : 1.1         : X1.Value    
#+   Type      : 41          : 2.1         
#+   Header    : EN          : [Incident energy: energy]
#+   Units     : MEV         : [MeV]
#+   BasicUnits: EV          : Conv.Factor=1.e+06
#
#ENDDATASET     K21850022
#=============================================================================
#DATASET        L0010005 
#NOW            2022/01/17:06:13:49
#SUBENT         L0010005   20100405
#ENTRY          L0010      20100405
#AUTHOR1        S.C.Fultz+
#YEAR           1966
#X4REF1         J,PR,143,790,196603
#REFERENCE1     Jour: Physical Review, Vol.143, p.790 (1966)
#REACTION       (13-AL-27(G,N)13-AL-26,,SIG)+(13-AL-27(G,N+P)12-MG-25,,SIG)
#D4REAC         (R0#)+(R1#)
#C4Reaction     ((G,N),SIG)+((G,N+P),SIG)
#ReactionType   CS
#Quantity       Cross section
#IndVarFamCode  [0 2        ]
#ExpectedUnits  [B]
#xVariables     1
#+              Y = Y(X1)
#COLUMNS        3
#HEADER         7           3           12
!DATA        DATA-ERR    EN          
!MB          MB          MEV         
!Y.Value     Y.Err+-     X1.Value    
!0.1         0.911       1.1         
!variable    variable    variable    
!0.001       0.001       1000000.0   
!B           B           EV          
#DATA           160         3           12
 0.2         0.1         13.88       
 0.2         0.1         14.02       
 0.4         0.1         14.15       
 0.4         0.1         14.29       
 0.5         0.1         14.42       
 0.5         0.1         14.56       
 0.3         0.1         14.7        
 0.4         0.1         14.83       
 0.7         0.1         14.97       
 1.1         0.1         15.1        
 1.7         0.1         15.24       
 2.          0.1         15.37       
 2.5         0.1         15.51       
 2.6         0.1         15.64       
 2.9         0.1         15.78       
 3.3         0.1         15.92       
 4.3         0.1         16.05       
 4.3         0.1         16.19       
 4.8         0.1         16.32       
 4.8         0.1         16.46       
 4.7         0.1         16.59       
 4.2         0.1         16.73       
 5.1         0.1         16.86       
 5.3         0.2         17.         
 4.7         0.2         17.13       
 5.4         0.2         17.27       
 7.2         0.2         17.41       
 7.9         0.2         17.54       
 8.7         0.2         17.68       
 8.7         0.2         17.81       
 9.4         0.2         17.95       
 10.5        0.2         18.08       
 10.5        0.2         18.22       
 10.2        0.2         18.35       
 10.2        0.2         18.49       
 10.3        0.2         18.63       
 10.4        0.2         18.76       
 11.1        0.2         18.9        
 11.4        0.2         19.03       
 11.5        0.2         19.17       
 11.6        0.2         19.3        
 11.9        0.2         19.44       
 12.6        0.2         19.57       
 13.8        0.2         19.71       
 14.3        0.2         19.84       
 14.3        0.2         19.98       
 13.6        0.2         20.12       
 13.2        0.2         20.25       
 13.4        0.2         20.39       
 13.         0.2         20.52       
 13.4        0.3         20.66       
 14.3        0.3         20.79       
 14.5        0.3         20.93       
 15.2        0.3         21.06       
 15.8        0.3         21.2        
 15.6        0.3         21.34       
 15.4        0.3         21.47       
 14.7        0.3         21.61       
 14.1        0.3         21.74       
 14.9        0.3         21.88       
 14.8        0.3         22.01       
 14.7        0.3         22.15       
 14.         0.3         22.28       
 13.9        0.3         22.42       
 13.5        0.3         22.55       
 12.6        0.3         22.69       
 13.2        0.3         22.83       
 13.3        0.3         22.96       
 13.2        0.3         23.1        
 12.8        0.3         23.23       
 12.7        0.3         23.37       
 12.5        0.3         23.5        
 12.         0.3         23.64       
 12.         0.3         23.77       
 11.8        0.3         23.91       
 11.4        0.3         24.05       
 10.9        0.3         24.18       
 11.         0.4         24.32       
 11.1        0.4         24.45       
 10.6        0.4         24.59       
 10.3        0.4         24.72       
 10.1        0.4         24.86       
 10.4        0.4         24.99       
 9.9         0.4         25.13       
 10.2        0.4         25.26       
 9.9         0.4         25.4        
 9.6         0.4         25.67       
 9.4         0.4         25.94       
 9.5         0.4         26.21       
 9.4         0.4         26.48       
 9.3         0.4         26.76       
 9.6         0.4         27.03       
 9.          0.4         27.3        
 9.5         0.4         27.57       
 9.          0.4         27.84       
 9.1         0.4         28.11       
 8.6         0.4         28.65       
 7.6         0.4         28.92       
 7.          0.4         29.19       
 8.          0.4         29.47       
