#---EXFOR Request #1068
#---EXFOR Standard Output---
#=============================================================================
#DATASET        L0048002 
#NOW            2022/01/17:06:22:08
#SUBENT         L0048002   970129
#ENTRY          L0048      970129
#AUTHOR1        J.W.Jury+
#YEAR           1979
#X4REF1         J,PR/C,19,1684,7905
#REFERENCE1     Jour: Physical Review, Part C, Nuclear Physics, Vol.19, p.1684 (1979)
#REACTION       (6-C-13(G,N)6-C-12,,SIG)+(6-C-13(G,N+P)5-B-11,,SIG)
#D4REAC         (R0#)+(R1#)
#C4Reaction     ((G,N),SIG)+((G,N+P),SIG)
#ReactionType   CS
#Quantity       Cross section
#IndVarFamCode  [0 2        ]
#ExpectedUnits  [B]
#xVariables     1
#+              Y = Y(X1)
#COLUMNS        3
#HEADER         7           3           12
!DATA        DATA-ERR    EN          
!MB          MB          MEV         
!Y.Value     Y.Err+-     X1.Value    
!0.1         0.911       1.1         
!variable    variable    variable    
!0.001       0.001       1000000.0   
!B           B           EV          
#DATA           177         3           12
#+   BasicUnits: EV          : Conv.Factor=1.e+06
#
#ENDDATASET     L0131004 
#=============================================================================
#DATASET        M0324008 
#NOW            2022/01/17:06:22:08
#SUBENT         M0324008   20210624
#ENTRY          M0324      20210624
#AUTHOR1        J.G.Woodworth+
#YEAR           1979
#X4REF1         J,NP/A,327,53,1979
#REFERENCE1     Jour: Nuclear Physics, Section A, Vol.327, p.53 (1979)
#REACTION       6-C-13(G,N)6-C-12,PAR,SIG
#D4REAC         R0#
#C4Reaction     (G,N)PAR,SIG
#ReactionType   CSP
#Quantity       Partial cross section
#IndVarFamCode  [0 23       ]
#ExpectedUnits  [B]
#xVariables     2
#+              Y = Y(X1,X2)
#COLUMNS        4
#HEADER         7           4           12
!DATA        ERR-S       EN          E-LVL       
!MB          MB          MEV         MEV         
!Y.Value     Y.sErr+-    X1.Value    X2.Value    
!0.1         0.944       1.1         2.1         
!variable    variable    variable    const       
!0.001       0.001       1000000.0   1000000.0   
!B           B           EV          EV          
#DATA           75          4           12
 0.52                    7.1         0.          
 0.52                    7.24        0.          
 0.76                    7.36        0.          
 0.52                    7.47        0.          
 0.86                    7.65        0.          
 0.69                    7.77        0.          
 2.57                    7.87        0.          
 1.33                    8.01        0.          
 1.05                    8.07        0.          
 0.95                    8.16        0.          
 0.69                    8.21        0.          
 0.54                    8.28        0.          
 0.35                    8.36        0.          
 0.19                    8.45        0.          
 0.1                     8.57        0.          
 0.21                    8.65        0.          
 0.48                    8.75        0.          
 0.86                    8.88        0.          
 1.19                    9.02        0.          
 1.                      9.13        0.          
 0.62                    9.37        0.          
 0.71                    9.51        0.          
 0.81                    9.7         0.          
 0.62                    9.93        0.          
 0.88                    10.         0.          
 1.16                    10.07       0.          
 1.43                    10.25       0.          
 0.76                    10.32       0.          
 0.97                    10.41       0.          
 1.1                     10.51       0.          
 1.52                    10.65       0.          
 1.26                    10.79       0.          
 1.38                    10.88       0.          
 1.52                    10.98       0.          
 1.99        0.14        11.13       0.          
 2.62        0.14        11.23       0.          
